"key","source","context","af","ar","bn","zh-CN","zh-TW","cs","nl","en","et","fr","de","el","he","hi","hu","id","it","ja","ko","no","fa","pl","pt-PT","ru","es-ES","sv-SE","tr","uk","vi"
"TR_CARDANO_WALLET","Cardano wallet","","Cardano wallet","Cardano wallet","Cardano wallet","Cardano wallet","Cardano wallet","Cardano wallet","Cardano wallet","Cardano wallet","Cardano wallet","Cardano wallet","Cardano wallet","Cardano wallet","Cardano wallet","Cardano wallet","Cardano wallet","Cardano wallet","Cardano wallet","Cardano wallet","Cardano wallet","Cardano wallet","Cardano wallet","Cardano wallet","Cardano wallet","Кошелёк Cardano","Monedero Cardano","Cardano wallet","Cardano wallet","Гаманець Cardano","Cardano wallet"
"TR_YOU_WILL_BE_REDIRECTED_TO_EXTERNAL","You will be redirected to external wallet","","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","You will be redirected to external wallet","Вы будете перенаправлены на внешний кошелёк","Usted será redirigido al monedero externo","You will be redirected to external wallet","You will be redirected to external wallet","Ви будете перенаправлені на зовнішній гаманець","You will be redirected to external wallet"
"TR_GO_TO_EXTERNAL_WALLET","Go to external wallet","","Go to external wallet","Go to external wallet","Go to external wallet","Go to external wallet","Go to external wallet","Go to external wallet","Go to external wallet","Go to external wallet","Go to external wallet","Go to external wallet","Go to external wallet","Go to external wallet","Go to external wallet","Go to external wallet","Go to external wallet","Go to external wallet","Go to external wallet","Go to external wallet","Go to external wallet","Go to external wallet","Go to external wallet","Go to external wallet","Go to external wallet","Перейти на внешний кошелёк","Ir al monedero externo","Go to external wallet","Go to external wallet","Перейти на зовнішній гаманець","Go to external wallet"
"TR_NEM_WALLET","NEM wallet","","NEM wallet","NEM wallet","NEM Wallet","NEM 钱包","NEM Wallet","NEM peněženka","NEM Wallet","NEM wallet","NEM Wallet","Portefeuille NEM","NEM Wallet","NEM Wallet","NEM Wallet","NEM wallet","NEM Wallet","NEM Wallet","NEM Wallet","NEMウォレット","NEM 지갑","NEM Wallet","NEM wallet","NEM Wallet","NEM Wallet","Кошелек NEM","Monedero NEM","NEM Wallet","NEM Wallet","NEM Wallet","NEM Wallet"
"TR_WE_HAVE_PARTNERED_UP_WITH_THE_NEM","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet.","","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet.","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet.","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet.","我们与 NEM Foundation 一起合作为您提供 功能全面的 NEM 钱包。","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet.","Spolupracujeme s NEM foundation, abychom Vám poskytli  plnohodnotnou peněženku pro NEM.","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet.","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet.","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet.","Nous nous sommes associés à la Fondation NEM pour vous fournir un portefeuille NEM complet.","Wir haben uns mit der NEM Foundation zusammengetan, um Ihnen  ein vollwertiges NEM-Wallet zur Verfügung zu stellen.","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet.","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet.","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet.","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet.","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet.","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet.","当社は、本格的なNEMウォレットを提供する NEM財団と提携しています。","당사는 NEM 재단과 제휴하면서 고급 NEM 지갑을 제공합니다.","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet.","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet.","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet.","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet.","Мы, совместно с NEM Foundation, предлагаем полнофункциональный кошелек NEM.","Nos hemos asociado con la Fundación NEM para proporcionarle un monedero NEM completo.","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet.","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet.","Ми спiвпрацюємо з NEM Foundation, щоб надавати Вам повноцінний NEM гаманець.","We have partnered up with the NEM Foundation to provide you with a full-fledged NEM Wallet."
"TR_MAKE_SURE_YOU_DOWNLOAD_THE_UNIVERSAL","Make sure you download the Universal Client for Trezor support.","","Make sure you download the Universal Client for Trezor support.","Make sure you download the Universal Client for Trezor support.","Make sure you download the Universal Client for Trezor support.","确保下载通用客户单以支持 Trezor。","Make sure you download the Universal Client for Trezor support.","Ujistěte se, že stahujete univerzálního klienta pro podporu Trezoru.","Make sure you download the Universal Client for Trezor support.","Make sure you download the Universal Client for Trezor support.","Make sure you download the Universal Client for Trezor support.","Assurez-vous de télécharger le client universel pour la prise en charge du Trezor.","Laden Sie sich für Trezor-Unterstützung den Universal Client herunter.","Make sure you download the Universal Client for Trezor support.","Make sure you download the Universal Client for Trezor support.","Make sure you download the Universal Client for Trezor support.","Make sure you download the Universal Client for Trezor support.","Make sure you download the Universal Client for Trezor support.","Make sure you download the Universal Client for Trezor support.","TrezorがサポートするUniversal Clientをダウンロードしてください。","Trezor 지원을 위해 Universal Client를 다운로드해야 합니다.","Make sure you download the Universal Client for Trezor support.","Make sure you download the Universal Client for Trezor support.","Make sure you download the Universal Client for Trezor support.","Make sure you download the Universal Client for Trezor support.","Обязательно скачайте универсальный клиент для поддержки Trezor.","Asegúrese de descargar el Cliente Universal para compatibilidad con Trezor.","Make sure you download the Universal Client for Trezor support.","Make sure you download the Universal Client for Trezor support.","Переконайтеся, що ви завантажити універсальний клієнт для підтримки Trezor.","Make sure you download the Universal Client for Trezor support."
"TR_GO_TO_NEM_DOT_IO","Go to nem.io","","Go to nem.io","Go to nem.io","Go to nem.io","转到 nem.io","Go to nem.io","Pokračujte na nem.io","Go to nem.io","Go to nem.io","Go to nem.io","Aller sur nem.io","Zu nem.io wechseln","Go to nem.io","Go to nem.io","Go to nem.io","Go to nem.io","Go to nem.io","Go to nem.io","nem.ioへ移動","nem.io로 이동","Go to nem.io","Go to nem.io","Go to nem.io","Go to nem.io","Перейти на nem.io","Ir a nem.io","Go to nem.io","Go to nem.io","Перейти на nem.io","Go to nem.io"
"TR_STELLAR_WALLET","Stellar wallet","","Stellar wallet","Stellar wallet","Stellar wallet","Stellar wallet","Stellar wallet","Stellar wallet","Stellar wallet","Stellar wallet","Stellar wallet","Stellar wallet","Stellar wallet","Stellar wallet","Stellar wallet","Stellar wallet","Stellar wallet","Stellar wallet","Stellar wallet","Stellar wallet","Stellar wallet","Stellar wallet","Stellar wallet","Stellar wallet","Stellar wallet","Кошелёк Stellar","Monedero Stellar","Stellar wallet","Stellar wallet","Гаманець Stellar","Stellar wallet"
"TR_TEZOS_WALLET","Tezos wallet","","Tezos wallet","Tezos wallet","Tezos wallet","Tezos wallet","Tezos wallet","Tezos wallet","Tezos wallet","Tezos wallet","Tezos wallet","Tezos wallet","Tezos wallet","Tezos wallet","Tezos wallet","Tezos wallet","Tezos wallet","Tezos wallet","Tezos wallet","Tezos wallet","Tezos wallet","Tezos wallet","Tezos wallet","Tezos wallet","Tezos wallet","Кошелёк Tezos","Monedero Tezos","Tezos wallet","Tezos wallet","Гаманець Tezos","Tezos wallet"
"TR_ENTER_DEVICE_PASSPHRASE","Enter {deviceLabel} passphrase","","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Введите кодовую фразу для {deviceLabel}","Introduzca passphrase {deviceLabel}","Enter {deviceLabel} passphrase","Enter {deviceLabel} passphrase","Введiть парольну фразу для {deviceLabel}","Enter {deviceLabel} passphrase"
"TR_NOTE_COLON_PASSPHRASE","Note: Passphrase is case-sensitive.","","Note: Passphrase is case-sensitive.","Note: Passphrase is case-sensitive.","Note: Passphrase is case-sensitive."," 注：密码区分大小写。","Note: Passphrase is case-sensitive."," Poznámka: Přístupová fráze rozlišuje velká/malá písmena.","Note: Passphrase is case-sensitive.","Note: Passphrase is case-sensitive."," Note: Passphrase is case-sensitive."," Remarque : la phrase de passe est sensible à la casse."," Hinweis: Groß-/Kleinschreibung wird beachtet.","Note: Passphrase is case-sensitive."," Note: Passphrase is case-sensitive.","Note: Passphrase is case-sensitive."," Note: Passphrase is case-sensitive."," Note: Passphrase is case-sensitive."," Note: Passphrase is case-sensitive."," 注意: パスフレーズはは大文字と小文字を区別します。"," 참고: 패스프레이즈는 대/소문자를 구분합니다."," Note: Passphrase is case-sensitive.","Note: Passphrase is case-sensitive."," Note: Passphrase is case-sensitive."," Note: Passphrase is case-sensitive."," Примечание: кодовая фраза чувствительна к регистру."," Atención: la frase de contraseña es sensible al uso de mayúsculas y minúsculas."," Note: Passphrase is case-sensitive."," Note: Passphrase is case-sensitive.","Увага: кодову фразу потрібно вводити з урахуванням регістра."," Note: Passphrase is case-sensitive."
"TR_IF_YOU_FORGET_YOUR_PASSPHRASE_COMMA","If you forget your passphrase, your wallet is lost for good. There is no way to recover your funds.","","If you forget your passphrase, your wallet is lost for good. There is no way to recover your funds.","If you forget your passphrase, your wallet is lost for good. There is no way to recover your funds.","আপনি আপনার গুপ্ত-বাক্যাংশ ভুলে গিয়ে থাকেন, আপনার ওয়ালেট চিরদিনের জন্য হারিয়ে ফেলেছেন। আপনার অর্থ পুনরুদ্ধার করার কোন উপায় নেই।","如果您忘记密码，您的钱包将永久地丢失，您的资金将无法恢复。","如果你忘記你的短語密碼，你的錢包將永久地遺失，並且絕對不可能恢復你的資金。","Pokud zapomenete přístupovou frázi, Vaše peněženka je navždy ztracena. Neexistuje žádný způsob, jak obnovit Vaše finanční prostředky.","Als u uw wachtwoordzin vergeet, is uw portemonnee voorgoed verloren. Er is geen manier om uw rekeningen te herstellen.","If you forget your passphrase, your wallet is lost for good. There is no way to recover your funds.","If you forget your passphrase, your wallet is lost for good. There is no way to recover your funds.","Si vous oubliez votre phrase de passe, votre portefeuille est définitivement perdu. Il est impossible de récupérer vos fonds.","Wenn Sie Ihre Passphrase vergessen, haben Sie keinen Zugriff mehr auf Ihr Wallet. Es gibt keinen Weg, Ihre Geldmittel wiederherzustellen.","Εάν ξεχάσετε τη φράση πρόσβασής σας, το πορτοφόλι σας θα χαθεί για πάντα. Δεν υπάρχει τρόπος να ανακτήσετε τα κεφάλαιά σας.","אם תשכחו את ה passphrase, הארנק שלכם ילך לטמיון. אין דרך להשיב את נכסיכם.","If you forget your passphrase, your wallet is lost for good. There is no way to recover your funds.","Ha elfelejti a jelszómondatát örökre elveszti a hozzáférést a fiókjához. Nincs más mód a visszaállításhoz!","Jika anda kehilangan passphrase anda, maka dompet anda akan hilang. Tidak ada cara lain untuk dapat memulihkan dana anda.","Se dimentichi la tua passphrase, perderai il tuo portafoglio per sempre. Non esiste altro modo per recuperare i tuoi fondi.","パスフレーズを忘れてしまった場合、お持ちのウォレットのデータは永遠に失われます。資金を復元する方法はありません。","패스프레이즈를 잊어버린 경우, 지갑은 영원히 손실됩니다. 자금을 복구할 수 있는 방법이 없습니다.","If you forget your passphrase, your wallet is lost for good. There is no way to recover your funds.","If you forget your passphrase, your wallet is lost for good. There is no way to recover your funds.","Jeżeli zapomnisz swoje hasło Twój portfel będzie stracony na dobre. Nie ma możliwości odzyskania środków.","Se você esquecer sua senha de segurança, perderá sua carteira para sempre. Não há nenhuma maneira de recuperar seus fundos.","Если вы забудете кодовую фразу, то средства потеряются навсегда. Другого способа их восстановить нет.","Si olvida su frase de contraseña, su monedero se perderá para siempre. No hay forma de recuperar sus fondos.","Om du glömmer din lösenfras, är din plånbok förlorad för gott. Det finns inget sätt att återfå dina medel.","Parolanızı unutmanız durumunda, cüzdanınız sizin için kaybolur. Birikimlerinizi kurtarmanın hiçbir yolu yoktur.","Якщо Ви забудете свою кодову фразу, Ваш гаманець втрачається назавжди. Не існує ніякого способу для його відновлення.","Nếu bạn quên cụm mật khẩu của bạn, ví của bạn sẽ không sử dụng được. Không còn cách để phục hồi các khoản tiền của bạn."
"TR_CONFIRM_PASSPHRASE","Confirm Passphrase","","Confirm Passphrase","Confirm Passphrase","Confirm Passphrase","确认密码","Confirm Passphrase","Potvrdit přístupovou frázi","Confirm Passphrase","Confirm Passphrase","Confirm Passphrase","Confirmer la phrase de passe","Passphrase bestätigen","Confirm Passphrase","Confirm Passphrase","Confirm Passphrase","Confirm Passphrase","Confirm Passphrase","Confirm Passphrase","パスフレーズを確認","패스프레이즈 확인","Confirm Passphrase","Confirm Passphrase","Confirm Passphrase","Confirm Passphrase","Подтвердите кодовую фразу","Confirmar frase de contraseña","Confirm Passphrase","Confirm Passphrase","Пiдтвердiть парольну фразу","Confirm Passphrase"
"TR_PASSPHRASES_DO_NOT_MATCH","Passphrases do not match!","","Passphrases do not match!","Passphrases do not match!","গুপ্ত-বাক্যাংশ মিলছে না!","密码不一致！","短語密碼不一致！","Přístupové fráze se neshodují!","Wachtwoordzinnen komen niet overeen!","Passphrases do not match!","Paroolifraasid ei kattu!","Les phrases de passe ne correspondent pas !","Die Passphrasen stimmen nicht überein!","Οι φράσεις πρόσβασης δεν ταιριάζουν!","אין התאמה ב passphrase שהוכנסו!","Passphrases do not match!","Ez nem egyforma!","Passphrase tidak cocok!","Passphrases non corrispondenti!","パスフレーズが一致しません！","패스프레이즈가 일치하지 않습니다!","Passphrases do not match!","Passphrases do not match!","Hasła nie pasują do siebie!","As senhas de segurança não são iguais!","Кодовые фразы не совпадают!","¡Las frases de contraseña no coinciden!","Lösenfrasersna matchar inte!","Parola eşleşmedi!","Парольні фрази не співпадають!","Cụm mật khẩu không khớp!"
"TR_PASSPHRASE_IS_TOO_LONG","Passphrase is too long!","","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Кодовая фраза слишком длинная!","Passphrase is too long!","Passphrase is too long!","Passphrase is too long!","Кодова фраза занадто довга!","Passphrase is too long!"
"TR_SHOW_PASSPHRASE","Show passphrase","This is on a passphrase button","Show passphrase","Show passphrase","গুপ্ত-বাক্যাংশ প্রদর্শন করুন","显示密码","顯示短語密碼","Zobrazit přístupovou frázi","Toon wachtwoordzin","Show passphrase","Show passphrase","Afficher la phrase de passe","Passphrase anzeigen","Εμφάνιση συνθηματικής φράσης","הצגת passphrase","Show passphrase","Látható a jelszó","Lihat passphrase","Mostra la passphrase","パスフレーズを表示","패스프레이즈 표시","Show passphrase","Show passphrase","Pokaż hasło","Exibir senha de segurança","Показать кодовую фразу","Mostrar frase de contraseña","Visa lösenfras","Parolayı göster","Показати парольну фразу","Hiển thị cụm mật khẩu"
"TR_ENTER","Enter","","Enter","Enter","প্রবেশ করুন","确定","確定","Potvrdit","Voer","Enter","Enter","Saisissez","Eingeben","Εισάγετε","כניסה","Enter","Tovább","Enter","Inserisci","決定","입력","Enter","Enter","Wprowadź","Insira","Ввод","Introducir","Enter","Giriş","Ввести","Nhập"
"TR_PASSPHRASE","Passphrase","Label above input","Passphrase","Passphrase","গুপ্ত-বাক্যাংশ","密码","短語密碼","Přístupová fráze","Wachtwoordzin","Passphrase","Paroolifraas","Phrase de passe","Passphrase","Φράση πρόσβασης","Passphrase","Passphrase","Kulcsszó","Passphrase","Passphrase","パスフレーズ","패스프레이즈","Passphrase","Passphrase","Hasło","Senha de segurança","Кодовая фраза","Frase de contraseña","Lösenfras","Parola","Парольна фраза","Cụm từ mật khẩu"
"TR_CHANGED_YOUR_MIND","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Передумали? {TR_GO_TO_STANDARD_WALLET}","¿Cambió usted su opinión? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}","Передумали? {TR_GO_TO_STANDARD_WALLET}","Changed your mind? {TR_GO_TO_STANDARD_WALLET}"
"TR_ENTERED_PIN_NOT_CORRECT","Entered PIN for {deviceLabel} is not correct","","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Введенный неправильный PIN-код для {deviceLabel}","La contraseña introducida para {deviceLabel} no está correcta","Entered PIN for {deviceLabel} is not correct","Entered PIN for {deviceLabel} is not correct","Введений PIN-код для {deviceLabel} неправильний","Entered PIN for {deviceLabel} is not correct"
"TR_RETRYING_DOT_DOT","Retrying...","","Retrying...","Retrying...","Retrying...","Retrying...","Retrying...","Retrying...","Retrying...","Retrying...","Retrying...","Retrying...","Retrying...","Retrying...","Retrying...","Retrying...","Retrying...","Retrying...","Retrying...","Retrying...","Retrying...","Retrying...","Retrying...","Retrying...","Retrying...","Повторная попытка...","Reintentando...","Retrying...","Retrying...","Повторна спроба...","Retrying..."
"TR_THE_PIN_LAYOUT_IS_DISPLAYED_ON","The PIN layout is displayed on your Trezor.","","The PIN layout is displayed on your Trezor.","The PIN layout is displayed on your Trezor.","The PIN layout is displayed on your Trezor.","PIN 码布局显示在您的 Trezor 上。","The PIN layout is displayed on your Trezor.","Rozmístění tlačítek je zobrazeno na Vašem zařízení.","The PIN layout is displayed on your Trezor.","The PIN layout is displayed on your Trezor.","The PIN layout is displayed on your Trezor.","L'agencement du PIN est affiché sur votre Trezor.","Das PIN-Layout wird auf Ihrem Trezor angezeigt.","The PIN layout is displayed on your Trezor.","The PIN layout is displayed on your Trezor.","The PIN layout is displayed on your Trezor.","The PIN layout is displayed on your Trezor.","The PIN layout is displayed on your Trezor.","The PIN layout is displayed on your Trezor.","PINのレイアウトはTrezorに表示されています。","PIN 레이아웃이 해당 Trezor에 표시됩니다.","The PIN layout is displayed on your Trezor.","The PIN layout is displayed on your Trezor.","The PIN layout is displayed on your Trezor.","The PIN layout is displayed on your Trezor.","Раскладка PIN показана на устройстве Trezor.","La disposición del PIN se muestra en su Trezor.","The PIN layout is displayed on your Trezor.","The PIN layout is displayed on your Trezor.","Розташування PIN-коду відображається на Вашому Trezor.","The PIN layout is displayed on your Trezor."
"TR_ENTER_DEVICE_PIN","Enter {deviceLabel} PIN","","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Введите PIN-код для {deviceLabel}","Introduzca la contraseña de {deviceLabel}","Enter {deviceLabel} PIN","Enter {deviceLabel} PIN","Введiть PIN для {deviceLabel}","Enter {deviceLabel} PIN"
"TR_ENTER_PIN","Enter PIN","","Enter PIN","Enter PIN","Enter PIN","输入 PIN 码","Enter PIN","Zadejte PIN","Enter PIN","Enter PIN","Enter PIN","Saisissez le PIN","PIN eingeben","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","PINを入力","PIN 입력","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Введите PIN","Introducir PIN","Enter PIN","Enter PIN","Введiть PIN","Enter PIN"
"TR_NOT_SURE_HOW_PIN_WORKS","Not sure how PIN works? {TR_LEARN_MORE}","","Not sure how PIN works? {TR_LEARN_MORE}","Not sure how PIN works? {TR_LEARN_MORE}","পিন কিভাবে কাজ করে জানেননা? {TR_LEARN_MORE}","不知道 PIN 码的工作原理？{TR_LEARN_MORE}","Not sure how PIN works? {TR_LEARN_MORE}","Nejste si jisti, jak funguje zadávání PINu? {TR_LEARN_MORE}","Not sure how PIN works? {TR_LEARN_MORE}","Not sure how PIN works? {TR_LEARN_MORE}","Ei ole kindel, kuidas töötab PIN-kood? {TR_LEARN_MORE}","Vous n'êtes pas sûr du fonctionnement du PIN ? {TR_LEARN_MORE}","Unsicher, wie die PIN funktioniert? {TR_LEARN_MORE}","Δεν είστε σίγουροι πως λειτουργεί το PIN; {TR_LEARN_MORE}","רוצים לדעת על שימוש בקוד האישי? {TR_LEARN_MORE}","Not sure how PIN works? {TR_LEARN_MORE}","Nem tudja hogyan működik a PIN-kód? {TR_LEARN_MORE}","Not sure how PIN works? {TR_LEARN_MORE}","Not sure how PIN works? {TR_LEARN_MORE}","PINの使い方がわかりませんか？{TR_LEARN_MORE}","PIN 작동 방식에 대해 잘 모르십니까? {TR_LEARN_MORE}","Not sure how PIN works? {TR_LEARN_MORE}","Not sure how PIN works? {TR_LEARN_MORE}","Nie jesteś pewien jak działa PIN? {TR_LEARN_MORE}","Not sure how PIN works? {TR_LEARN_MORE}","Не знаете, как работает PIN? {TR_LEARN_MORE}","¿No está seguro de cómo funciona el PIN? {TR_LEARN_MORE}","Inte säker på hur en PIN fungerar?{TR_LEARN_MORE}","PIN Kodunun nasıl çalıştığına emin değil misiniz?{TR_LEARN_MORE}","Не знаєте, як працює PIN-код? {TR_LEARN_MORE}","Không chắc chắn mã PIN hoạt động như thế nào? {TR_LEARN_MORE}"
"TR_SCAN_QR_CODE","Scan QR code","Title for the Scan QR modal dialog","Scan QR code","Scan QR code","QR কোড স্ক্যান করুন","扫描二维码","掃描二維碼","Naskenovat QR kód","Scan de QR-code","Scan QR code","Skännige QR koodi","Scanner un code QR","QR-Code scannen","Σάρωση QR code","סריקת ברקוד","Scan QR code","QR kód beolvasás","Pindai kode QR","Scansiona QR code","QRコードを読み取る","QR 코드 스캔","Scan QR code","Scan QR code","Zeskanuj kod QR","Escanear código QR","Сканировать QR-код","Escanear código QR","Skanna QR-kod","QR Kodu tarayınız","Сканувати QR-код","Quét mã QR"
"TR_WAITING_FOR_CAMERA","Waiting for camera...","","Waiting for camera...","Waiting for camera...","ক্যামেরার জন্য অপেক্ষা করা হচ্ছে...","正在开启摄像头…","等待相機連接⋯⋯","Čekám na kameru...","Wachten op camera &hellip;","Waiting for camera...","Waiting for camera...","En attente de la caméra...","Warten auf Kamera...","Αναμονή για την camera&hellip;","ממתין למצלמה...","Waiting for camera...","Várakozás a kamerára...","Menunggu kamera&hellip;","Attesa per camera&hellip;","カメラを待っています...","카메라 대기 중...","Waiting for camera...","Waiting for camera...","Czekanie na aparat&hellip;","Aguardando pela câmera&hellip;","Ожидание камеры...","Esperando la cámara...","Väntar på kamera...","Kamera bekleniyor...","Очікування камери...","Chờ đợi máy ảnh..."
"TR_OOPS_SOMETHING_WENT_WRONG","Oops! Something went wrong!","","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Oops! Something went wrong!","Ой! Что-то пошло не так!","¡Uy! ¡Algo salió mal!","Oops! Something went wrong!","Oops! Something went wrong!","Упс! Щось пішло не так!","Oops! Something went wrong!"
